Input File	Processes Number	Running Time (sec)
./resources/edgenew192x128.pgm	1	0.143785
./resources/edgenew256x192.pgm	1	0.172973
./resources/edgenew512x384.pgm	1	2.643027
./resources/edgenew768x768.pgm	1	6.045537
./resources/edgenew192x128.pgm	2	0.246133
./resources/edgenew256x192.pgm	2	0.349859
./resources/edgenew512x384.pgm	2	2.247055
./resources/edgenew768x768.pgm	2	5.662379
./resources/edgenew192x128.pgm	3	0.620179
./resources/edgenew256x192.pgm	3	0.577442
./resources/edgenew512x384.pgm	3	1.960513
./resources/edgenew768x768.pgm	3	5.435450
./resources/edgenew192x128.pgm	4	0.177582
./resources/edgenew256x192.pgm	4	0.190379
./resources/edgenew512x384.pgm	4	1.884116
./resources/edgenew768x768.pgm	4	5.964568
./resources/edgenew192x128.pgm	7	0.521746
./resources/edgenew256x192.pgm	7	0.196492
./resources/edgenew512x384.pgm	7	1.850394
./resources/edgenew768x768.pgm	7	5.596767
./resources/edgenew192x128.pgm	8	0.550414
./resources/edgenew256x192.pgm	8	0.459611
./resources/edgenew512x384.pgm	8	1.792254
./resources/edgenew768x768.pgm	8	5.240353
./resources/edgenew192x128.pgm	11	0.479994
./resources/edgenew256x192.pgm	11	0.476435
./resources/edgenew512x384.pgm	11	1.998474
./resources/edgenew768x768.pgm	11	4.956194
./resources/edgenew192x128.pgm	16	0.307489
./resources/edgenew256x192.pgm	16	0.482224
./resources/edgenew512x384.pgm	16	1.835549
./resources/edgenew768x768.pgm	16	4.711259
./resources/edgenew256x192.pgm	5	0.115474
./resources/edgenew256x192.pgm	5	0.203324
./resources/edgenew256x192.pgm	5	0.300022
./resources/edgenew256x192.pgm	5	0.437351
./resources/edgenew256x192.pgm	5	0.220812
./resources/edgenew256x192.pgm	4	0.417328
